,Kod stanowiska,Data,Wartość,id_stacji,data_dodania
159,DsKlodzSzkol-NO2-1g,2026-05-29 18:00:00,3.5,221,2026-05-30 13:19:16.823364
160,DsKlodzSzkol-NOx-1g,2026-05-30 13:00:00,4.3,222,2026-05-30 13:19:16.854545
161,DsKlodzSzkol-NOx-1g,2026-05-30 12:00:00,6.6,222,2026-05-30 13:19:16.854545
162,DsKlodzSzkol-NOx-1g,2026-05-30 11:00:00,7.6,222,2026-05-30 13:19:16.854545
163,DsKlodzSzkol-NOx-1g,2026-05-30 10:00:00,15.9,222,2026-05-30 13:19:16.854545
164,DsKlodzSzkol-NOx-1g,2026-05-30 09:00:00,11.6,222,2026-05-30 13:19:16.854545
165,DsKlodzSzkol-NOx-1g,2026-05-30 08:00:00,15.5,222,2026-05-30 13:19:16.854545
166,DsKlodzSzkol-NOx-1g,2026-05-30 07:00:00,12.4,222,2026-05-30 13:19:16.854545
167,DsKlodzSzkol-NOx-1g,2026-05-30 06:00:00,7.4,222,2026-05-30 13:19:16.854545
168,DsKlodzSzkol-NOx-1g,2026-05-30 05:00:00,10.3,222,2026-05-30 13:19:16.854545
169,DsKlodzSzkol-NOx-1g,2026-05-30 04:00:00,8.5,222,2026-05-30 13:19:16.854545
170,DsKlodzSzkol-NOx-1g,2026-05-30 03:00:00,10.2,222,2026-05-30 13:19:16.854545
171,DsKlodzSzkol-NOx-1g,2026-05-30 02:00:00,11.7,222,2026-05-30 13:19:16.854545
172,DsKlodzSzkol-NOx-1g,2026-05-30 01:00:00,12.7,222,2026-05-30 13:19:16.854545
173,DsKlodzSzkol-NOx-1g,2026-05-30 00:00:00,14.9,222,2026-05-30 13:19:16.854545
174,DsKlodzSzkol-NOx-1g,2026-05-29 23:00:00,22.4,222,2026-05-30 13:19:16.854545
175,DsKlodzSzkol-NOx-1g,2026-05-29 22:00:00,27.1,222,2026-05-30 13:19:16.854545
176,DsKlodzSzkol-NOx-1g,2026-05-29 21:00:00,21.4,222,2026-05-30 13:19:16.854545
177,DsKlodzSzkol-NOx-1g,2026-05-29 20:00:00,8.9,222,2026-05-30 13:19:16.854545
178,DsKlodzSzkol-NOx-1g,2026-05-29 19:00:00,5.0,222,2026-05-30 13:19:16.854545
179,DsKlodzSzkol-NOx-1g,2026-05-29 18:00:00,4.7,222,2026-05-30 13:19:16.854545
180,DsKlodzSzkol-O3-1g,2026-05-30 13:00:00,97.0,223,2026-05-30 13:19:16.892199
181,DsKlodzSzkol-O3-1g,2026-05-30 12:00:00,78.1,223,2026-05-30 13:19:16.892199
182,DsKlodzSzkol-O3-1g,2026-05-30 11:00:00,71.9,223,2026-05-30 13:19:16.892199
183,DsKlodzSzkol-O3-1g,2026-05-30 10:00:00,46.6,223,2026-05-30 13:19:16.892199
184,DsKlodzSzkol-O3-1g,2026-05-30 09:00:00,35.5,223,2026-05-30 13:19:16.892199
185,DsKlodzSzkol-O3-1g,2026-05-30 08:00:00,30.3,223,2026-05-30 13:19:16.892199
186,DsKlodzSzkol-O3-1g,2026-05-30 07:00:00,42.2,223,2026-05-30 13:19:16.892199
187,DsKlodzSzkol-O3-1g,2026-05-30 06:00:00,45.1,223,2026-05-30 13:19:16.892199
188,DsKlodzSzkol-O3-1g,2026-05-30 05:00:00,40.6,223,2026-05-30 13:19:16.892199
189,DsKlodzSzkol-O3-1g,2026-05-30 04:00:00,45.1,223,2026-05-30 13:19:16.892199
190,DsKlodzSzkol-O3-1g,2026-05-30 03:00:00,41.6,223,2026-05-30 13:19:16.892199
191,DsKlodzSzkol-O3-1g,2026-05-30 02:00:00,46.6,223,2026-05-30 13:19:16.892199
192,DsKlodzSzkol-O3-1g,2026-05-30 01:00:00,46.8,223,2026-05-30 13:19:16.892199
193,DsKlodzSzkol-O3-1g,2026-05-30 00:00:00,45.9,223,2026-05-30 13:19:16.892199
194,DsKlodzSzkol-O3-1g,2026-05-29 23:00:00,44.9,223,2026-05-30 13:19:16.892199
195,DsKlodzSzkol-O3-1g,2026-05-29 22:00:00,61.1,223,2026-05-30 13:19:16.892199
196,DsKlodzSzkol-O3-1g,2026-05-29 21:00:00,90.0,223,2026-05-30 13:19:16.892199
197,DsKlodzSzkol-O3-1g,2026-05-29 20:00:00,114.8,223,2026-05-30 13:19:16.892199
198,DsKlodzSzkol-O3-1g,2026-05-29 19:00:00,119.6,223,2026-05-30 13:19:16.892199
199,DsKlodzSzkol-O3-1g,2026-05-29 18:00:00,117.5,223,2026-05-30 13:19:16.892199
200,DsKlodzSzkol-PM10-1g,2026-05-30 13:00:00,13.7,224,2026-05-30 13:19:16.928204
201,DsKlodzSzkol-PM10-1g,2026-05-30 12:00:00,11.9,224,2026-05-30 13:19:16.928204
202,DsKlodzSzkol-PM10-1g,2026-05-30 11:00:00,11.2,224,2026-05-30 13:19:16.928204
203,DsKlodzSzkol-PM10-1g,2026-05-30 10:00:00,13.5,224,2026-05-30 13:19:16.928204
204,DsKlodzSzkol-PM10-1g,2026-05-30 09:00:00,14.2,224,2026-05-30 13:19:16.928204
205,DsKlodzSzkol-PM10-1g,2026-05-30 08:00:00,18.3,224,2026-05-30 13:19:16.928204
206,DsKlodzSzkol-PM10-1g,2026-05-30 07:00:00,16.2,224,2026-05-30 13:19:16.928204
207,DsKlodzSzkol-PM10-1g,2026-05-30 06:00:00,13.6,224,2026-05-30 13:19:16.928204
208,DsKlodzSzkol-PM10-1g,2026-05-30 05:00:00,15.9,224,2026-05-30 13:19:16.928204
209,DsKlodzSzkol-PM10-1g,2026-05-30 04:00:00,16.5,224,2026-05-30 13:19:16.928204
210,DsKlodzSzkol-PM10-1g,2026-05-30 03:00:00,15.5,224,2026-05-30 13:19:16.928204
211,DsKlodzSzkol-PM10-1g,2026-05-30 02:00:00,17.3,224,2026-05-30 13:19:16.928204
212,DsKlodzSzkol-PM10-1g,2026-05-30 01:00:00,14.9,224,2026-05-30 13:19:16.928204
213,DsKlodzSzkol-PM10-1g,2026-05-30 00:00:00,17.5,224,2026-05-30 13:19:16.928204
214,DsKlodzSzkol-PM10-1g,2026-05-29 23:00:00,22.3,224,2026-05-30 13:19:16.928204
215,DsKlodzSzkol-PM10-1g,2026-05-29 22:00:00,26.0,224,2026-05-30 13:19:16.928204
216,DsKlodzSzkol-PM10-1g,2026-05-29 21:00:00,14.9,224,2026-05-30 13:19:16.928204
217,DsKlodzSzkol-PM10-1g,2026-05-29 20:00:00,16.8,224,2026-05-30 13:19:16.928204
218,DsKlodzSzkol-PM10-1g,2026-05-29 19:00:00,17.5,224,2026-05-30 13:19:16.928204
219,DsKlodzSzkol-PM10-1g,2026-05-29 18:00:00,19.1,224,2026-05-30 13:19:16.928204
220,DsKlodzSzkol-PM2.5-1g,2026-05-30 13:00:00,6.3,25988,2026-05-30 13:19:16.955042
221,DsKlodzSzkol-PM2.5-1g,2026-05-30 12:00:00,6.3,25988,2026-05-30 13:19:16.955042
222,DsKlodzSzkol-PM2.5-1g,2026-05-30 11:00:00,5.9,25988,2026-05-30 13:19:16.955042
223,DsKlodzSzkol-PM2.5-1g,2026-05-30 10:00:00,7.6,25988,2026-05-30 13:19:16.955042
224,DsKlodzSzkol-PM2.5-1g,2026-05-30 09:00:00,7.8,25988,2026-05-30 13:19:16.955042
225,DsKlodzSzkol-PM2.5-1g,2026-05-30 08:00:00,8.9,25988,2026-05-30 13:19:16.955042
226,DsKlodzSzkol-PM2.5-1g,2026-05-30 07:00:00,7.9,25988,2026-05-30 13:19:16.955042
227,DsKlodzSzkol-PM2.5-1g,2026-05-30 06:00:00,7.9,25988,2026-05-30 13:19:16.955042
228,DsKlodzSzkol-PM2.5-1g,2026-05-30 05:00:00,8.2,25988,2026-05-30 13:19:16.955042
229,DsKlodzSzkol-PM2.5-1g,2026-05-30 04:00:00,8.7,25988,2026-05-30 13:19:16.955042
230,DsKlodzSzkol-PM2.5-1g,2026-05-30 03:00:00,9.1,25988,2026-05-30 13:19:16.955042
231,DsKlodzSzkol-PM2.5-1g,2026-05-30 02:00:00,9.2,25988,2026-05-30 13:19:16.955042
232,DsKlodzSzkol-PM2.5-1g,2026-05-30 01:00:00,8.2,25988,2026-05-30 13:19:16.955042
233,DsKlodzSzkol-PM2.5-1g,2026-05-30 00:00:00,10.2,25988,2026-05-30 13:19:16.955042
234,DsKlodzSzkol-PM2.5-1g,2026-05-29 23:00:00,10.1,25988,2026-05-30 13:19:16.955042
235,DsKlodzSzkol-PM2.5-1g,2026-05-29 22:00:00,9.8,25988,2026-05-30 13:19:16.955042
236,DsKlodzSzkol-PM2.5-1g,2026-05-29 21:00:00,5.1,25988,2026-05-30 13:19:16.955042
237,DsKlodzSzkol-PM2.5-1g,2026-05-29 20:00:00,5.3,25988,2026-05-30 13:19:16.955042
238,DsKlodzSzkol-PM2.5-1g,2026-05-29 19:00:00,6.0,25988,2026-05-30 13:19:16.955042
239,DsKlodzSzkol-PM2.5-1g,2026-05-29 18:00:00,5.9,25988,2026-05-30 13:19:16.955042
240,DsLegAlRzecz-C6H6-1g,2026-05-30 13:00:00,0.1,282,2026-05-30 13:19:17.093815
241,DsLegAlRzecz-C6H6-1g,2026-05-30 12:00:00,0.1,282,2026-05-30 13:19:17.093815
242,DsLegAlRzecz-C6H6-1g,2026-05-30 11:00:00,0.11,282,2026-05-30 13:19:17.093815
243,DsLegAlRzecz-C6H6-1g,2026-05-30 10:00:00,0.16,282,2026-05-30 13:19:17.093815
244,DsLegAlRzecz-C6H6-1g,2026-05-30 09:00:00,0.17,282,2026-05-30 13:19:17.093815
245,DsLegAlRzecz-C6H6-1g,2026-05-30 08:00:00,0.14,282,2026-05-30 13:19:17.093815
246,DsLegAlRzecz-C6H6-1g,2026-05-30 07:00:00,0.11,282,2026-05-30 13:19:17.093815
247,DsLegAlRzecz-C6H6-1g,2026-05-30 06:00:00,0.13,282,2026-05-30 13:19:17.093815
248,DsLegAlRzecz-C6H6-1g,2026-05-30 05:00:00,0.13,282,2026-05-30 13:19:17.093815
249,DsLegAlRzecz-C6H6-1g,2026-05-30 04:00:00,0.16,282,2026-05-30 13:19:17.093815
250,DsLegAlRzecz-C6H6-1g,2026-05-30 03:00:00,0.14,282,2026-05-30 13:19:17.093815
251,DsLegAlRzecz-C6H6-1g,2026-05-30 02:00:00,0.15,282,2026-05-30 13:19:17.093815
252,DsLegAlRzecz-C6H6-1g,2026-05-30 01:00:00,0.15,282,2026-05-30 13:19:17.093815
253,DsLegAlRzecz-C6H6-1g,2026-05-30 00:00:00,0.17,282,2026-05-30 13:19:17.093815
254,DsLegAlRzecz-C6H6-1g,2026-05-29 23:00:00,0.31,282,2026-05-30 13:19:17.093815
255,DsLegAlRzecz-C6H6-1g,2026-05-29 22:00:00,0.24,282,2026-05-30 13:19:17.093815
