Kod stanowiska,Data,Wartość,id_stanowiska
DsLegAlRzecz-SO2-1g,2026-06-01 01:00:00,3.6,297
DsLegAlRzecz-SO2-1g,2026-06-01 00:00:00,,297
DsLegAlRzecz-PM10-1g,2026-06-01 19:00:00,16.2,14397
DsLegAlRzecz-PM10-1g,2026-06-01 18:00:00,15.8,14397
DsLegAlRzecz-PM10-1g,2026-06-01 17:00:00,15.2,14397
DsLegAlRzecz-PM10-1g,2026-06-01 16:00:00,15.2,14397
DsLegAlRzecz-PM10-1g,2026-06-01 15:00:00,15.1,14397
DsLegAlRzecz-PM10-1g,2026-06-01 14:00:00,17.9,14397
DsLegAlRzecz-PM10-1g,2026-06-01 13:00:00,16.7,14397
DsLegAlRzecz-PM10-1g,2026-06-01 12:00:00,17.3,14397
DsLegAlRzecz-PM10-1g,2026-06-01 11:00:00,22.7,14397
DsLegAlRzecz-PM10-1g,2026-06-01 10:00:00,24.4,14397
DsLegAlRzecz-PM10-1g,2026-06-01 09:00:00,22.2,14397
DsLegAlRzecz-PM10-1g,2026-06-01 08:00:00,19.7,14397
DsLegAlRzecz-PM10-1g,2026-06-01 07:00:00,19.8,14397
DsLegAlRzecz-PM10-1g,2026-06-01 06:00:00,17.6,14397
DsLegAlRzecz-PM10-1g,2026-06-01 05:00:00,18.3,14397
DsLegAlRzecz-PM10-1g,2026-06-01 04:00:00,17.8,14397
DsLegAlRzecz-PM10-1g,2026-06-01 03:00:00,16.4,14397
DsLegAlRzecz-PM10-1g,2026-06-01 02:00:00,16.6,14397
DsLegAlRzecz-PM10-1g,2026-06-01 01:00:00,14.3,14397
DsLegAlRzecz-PM10-1g,2026-06-01 00:00:00,14.0,14397
DsLegAlRzecz-PM2.5-1g,2026-06-01 19:00:00,9.3,32560
DsLegAlRzecz-PM2.5-1g,2026-06-01 18:00:00,8.8,32560
